Account_ID,Account_Number,Bank_Name,Owner_ID
AC00001,209760000000.00,State Bank of India,A00721
AC00002,293779000000.00,State Bank of India,A01925
AC00003,576403000000.00,Karnataka Bank,A01069
AC00004,734767000000.00,Karnataka Bank,A00426
AC00005,778440000000.00,Axis Bank,A00052
AC00006,906321000000.00,ICICI Bank,A00427
AC00007,963477000000.00,Union Bank of India,A01685
AC00008,696819000000.00,HDFC Bank,A00360
AC00009,807281000000.00,Karnataka Bank,A01069
AC00010,164500000000.00,ICICI Bank,A01497
AC00011,680088000000.00,ICICI Bank,A01175
AC00012,176648000000.00,State Bank of India,A01255
AC00013,712443000000.00,Union Bank of India,A00499
AC00014,544270000000.00,HDFC Bank,A00997
AC00015,191409000000.00,Karnataka Bank,A01901
AC00016,734724000000.00,ICICI Bank,A01658
AC00017,723642000000.00,HDFC Bank,A00201
AC00018,999706000000.00,Union Bank of India,A01936
AC00019,182479000000.00,Karnataka Bank,A00512
AC00020,119797000000.00,ICICI Bank,A01225
AC00021,247626000000.00,Karnataka Bank,A00643
AC00022,175735000000.00,State Bank of India,A01901
AC00023,902348000000.00,Canara Bank,A00880
AC00024,441641000000.00,Axis Bank,A00036
AC00025,355855000000.00,ICICI Bank,A01433
AC00026,930756000000.00,Union Bank of India,A01728
AC00027,722515000000.00,Axis Bank,A01673
AC00028,917932000000.00,State Bank of India,A00077
AC00029,450860000000.00,Union Bank of India,A01974
AC00030,500828000000.00,Union Bank of India,A01302
AC00031,608670000000.00,Karnataka Bank,A01191
AC00032,921359000000.00,HDFC Bank,A00679
AC00033,402998000000.00,ICICI Bank,A01822
AC00034,232631000000.00,Axis Bank,A01443
AC00035,951270000000.00,ICICI Bank,A00032
AC00036,170872000000.00,Karnataka Bank,A00702
AC00037,597445000000.00,HDFC Bank,A01383
AC00038,933871000000.00,Karnataka Bank,A00546
AC00039,562865000000.00,Union Bank of India,A00030
AC00040,365133000000.00,HDFC Bank,A00394
AC00041,865865000000.00,HDFC Bank,A01143
AC00042,750560000000.00,Union Bank of India,A01075
AC00043,390937000000.00,Axis Bank,A01794
AC00044,688622000000.00,Karnataka Bank,A01735
AC00045,673403000000.00,State Bank of India,A01443
AC00046,729505000000.00,Union Bank of India,A00423
AC00047,616335000000.00,State Bank of India,A01491
AC00048,507902000000.00,HDFC Bank,A00108
AC00049,275786000000.00,ICICI Bank,A00252
AC00050,230921000000.00,HDFC Bank,A01417
AC00051,997531000000.00,HDFC Bank,A01353
AC00052,773854000000.00,ICICI Bank,A01531
AC00053,593220000000.00,Karnataka Bank,A01196
AC00054,273617000000.00,Axis Bank,A01468
AC00055,141688000000.00,Union Bank of India,A01489
AC00056,342876000000.00,Canara Bank,A01927
AC00057,202300000000.00,Axis Bank,A01366
AC00058,281274000000.00,ICICI Bank,A00658
AC00059,448562000000.00,State Bank of India,A00593
AC00060,483488000000.00,Axis Bank,A00648
AC00061,310754000000.00,HDFC Bank,A00412
AC00062,327083000000.00,Axis Bank,A01554
AC00063,835866000000.00,ICICI Bank,A01745
AC00064,856363000000.00,Karnataka Bank,A00780
AC00065,815318000000.00,HDFC Bank,A01409
AC00066,148885000000.00,Canara Bank,A00749
AC00067,199300000000.00,Union Bank of India,A00419
AC00068,236203000000.00,Karnataka Bank,A01363
AC00069,344666000000.00,Axis Bank,A01745
AC00070,724622000000.00,Canara Bank,A01486
AC00071,930759000000.00,HDFC Bank,A00659
AC00072,203035000000.00,Karnataka Bank,A01346
AC00073,486085000000.00,Axis Bank,A00056
AC00074,313540000000.00,Axis Bank,A01719
AC00075,143896000000.00,Axis Bank,A00634
AC00076,351518000000.00,HDFC Bank,A01554
AC00077,586192000000.00,Canara Bank,A00878
AC00078,873252000000.00,ICICI Bank,A01708
AC00079,816960000000.00,State Bank of India,A01943
AC00080,621538000000.00,HDFC Bank,A00143
AC00081,697278000000.00,HDFC Bank,A01017
AC00082,964319000000.00,HDFC Bank,A00572
AC00083,368431000000.00,HDFC Bank,A01919
AC00084,361693000000.00,Union Bank of India,A00481
AC00085,411470000000.00,State Bank of India,A01036
AC00086,307674000000.00,ICICI Bank,A01595
AC00087,192104000000.00,HDFC Bank,A01343
AC00088,744388000000.00,Union Bank of India,A01501
AC00089,402095000000.00,Axis Bank,A00427
AC00090,691092000000.00,HDFC Bank,A01118
AC00091,529541000000.00,State Bank of India,A01956
AC00092,744445000000.00,HDFC Bank,A01930
AC00093,587326000000.00,HDFC Bank,A01958
AC00094,664501000000.00,Union Bank of India,A00977
AC00095,366888000000.00,ICICI Bank,A00737
AC00096,539246000000.00,ICICI Bank,A01434
AC00097,463728000000.00,Karnataka Bank,A00472
AC00098,315946000000.00,Karnataka Bank,A00791
AC00099,863856000000.00,Axis Bank,A00186
AC00100,713539000000.00,HDFC Bank,A00727
AC00101,197351000000.00,Karnataka Bank,A01878
AC00102,239915000000.00,Union Bank of India,A00858
AC00103,190004000000.00,Canara Bank,A01816
AC00104,323050000000.00,Karnataka Bank,A00978
AC00105,280320000000.00,ICICI Bank,A01080
AC00106,935051000000.00,Union Bank of India,A01209
AC00107,278151000000.00,HDFC Bank,A00119
