Phone_ID,Phone_Number,Accused_ID
P00001,9338017599,A00902
P00002,9999399061,A00797
P00003,9291300061,A00431
P00004,9969628956,A01281
P00005,9216963791,A01995
P00006,9378916467,A00727
P00007,9687378372,A00548
P00008,9414662240,A01502
P00009,9312386063,A00235
P00010,9313466216,A01915
P00011,9947415807,A01980
P00012,9197294198,A01976
P00013,9839366851,A01261
P00014,9515770971,A00548
P00015,9746044642,A00171
P00016,9405875138,A01304
P00017,9198307499,A00903
P00018,9447897366,A00136
P00019,9470677484,A00060
P00020,9740855216,A01066
P00021,9554618616,A00206
P00022,9436298379,A01389
P00023,9525561062,A01225
P00024,9134814795,A00289
P00025,9853633019,A01524
P00026,9250283857,A00039
P00027,9237959507,A01595
P00028,9109917349,A00705
P00029,9789184257,A01907
P00030,9679568982,A01402
P00031,9316466124,A01272
P00032,9556629450,A01645
P00033,9338061420,A01139
P00034,9752217357,A01318
P00035,9205276654,A00346
P00036,9588010262,A01930
P00037,9170106166,A00106
P00038,9921807870,A01237
P00039,9840254711,A01790
P00040,9971913904,A01239
P00041,9725137658,A00522
P00042,9969561099,A01984
P00043,9311203818,A00718
P00044,9909942773,A00575
P00045,9555063415,A01957
P00046,9245558410,A01522
P00047,9822886145,A00726
P00048,9450786708,A00925
P00049,9898841205,A00698
P00050,9954194216,A01714
P00051,9219023078,A01886
P00052,9832026293,A00403
P00053,9182429623,A01788
P00054,9719581947,A01459
P00055,9239471608,A00504
P00056,9323440139,A00054
P00057,9454874611,A01922
P00058,9346419755,A00287
P00059,9840513733,A00998
P00060,9436697210,A00501
P00061,9813605792,A00365
P00062,9858046389,A01322
P00063,9374599138,A00821
P00064,9966176040,A01864
P00065,9526105188,A01242
P00066,9261869528,A01107
P00067,9615524509,A01050
P00068,9739111786,A01937
P00069,9371543108,A00519
P00070,9477991030,A01906
P00071,9367390826,A01409
P00072,9310307395,A01087
P00073,9351638565,A00472
P00074,9890243205,A01149
P00075,9214698322,A01326
P00076,9268530711,A01577
P00077,9607253601,A01258
P00078,9367674669,A00578
P00079,9216855843,A00047
P00080,9338058587,A00126
P00081,9826471241,A00291
P00082,9196885620,A01924
P00083,9298154222,A00280
P00084,9987225639,A00655
P00085,9729007686,A01359
P00086,9978989463,A00076
P00087,9791931012,A00733
P00088,9776134752,A01915
P00089,9543164464,A01365
P00090,9929367579,A00758
P00091,9450507165,A00279
P00092,9963701735,A01587
P00093,9312069962,A01086
P00094,9622108065,A00793
P00095,9119001489,A00328
P00096,9285055045,A00180
P00097,9663178695,A00623
P00098,9713122920,A01577
P00099,9509327028,A01701
P00100,9829110811,A00042
P00101,9298759815,A01491
P00102,9320497169,A00598
P00103,9191799896,A00823
P00104,9960157249,A01406
P00105,9401620463,A00326
P00106,9687862330,A01212
P00107,9581903580,A00202
P00108,9410378718,A00678
P00109,9991515387,A01815
P00110,9940240732,A01093
P00111,9221597313,A01898
P00112,9482576420,A01796
P00113,9166603769,A00895
P00114,9787880459,A00693
P00115,9765007038,A01940
P00116,9271985007,A01530
P00117,9252128881,A00934
P00118,9540876740,A01082
P00119,9679917756,A01164
P00120,9380399697,A00974
P00121,9297992661,A01451
P00122,9852827387,A01877
P00123,9541817702,A00214
P00124,9639159974,A01833
P00125,9736494974,A00360
P00126,9677402741,A01955
P00127,9928860936,A01070
P00128,9769203100,A01291
P00129,9185144838,A01791
P00130,9367834291,A00842
P00131,9320055804,A01342
P00132,9412999280,A01886
P00133,9697169479,A00343
P00134,9178767615,A01523
P00135,9881186957,A01903
P00136,9817584810,A01915
P00137,9116275299,A00920
P00138,9623803455,A00433
P00139,9678620329,A00033
P00140,9661842162,A01863
P00141,9909621879,A00469
P00142,9872697802,A00735
P00143,9736350491,A00758
P00144,9958786058,A00155
P00145,9525000441,A01433
P00146,9344163020,A00790
P00147,9904281601,A01555
P00148,9818327157,A01862
P00149,9586643475,A00025
P00150,9654230343,A01201
P00151,9632116504,A00009
P00152,9250349146,A01117
P00153,9206368073,A00638
P00154,9541836748,A00041
P00155,9749561593,A00801
P00156,9210494401,A00280
P00157,9715640209,A01678
P00158,9823348753,A01489
P00159,9267776695,A01631
P00160,9207891056,A00120
P00161,9984715228,A01677
P00162,9157259413,A00980
P00163,9535507700,A00143
P00164,9614705611,A01401
P00165,9472285762,A01731
P00166,9523730136,A01454
P00167,9988824955,A01135
P00168,9713521844,A00763
P00169,9268523354,A01881
P00170,9760449087,A00745
P00171,9554779402,A00761
P00172,9203811142,A00117
P00173,9652032359,A00570
P00174,9151211639,A00326
P00175,9691474239,A00353
P00176,9374008332,A01223
P00177,9956739124,A00951
P00178,9500707039,A00914
P00179,9228556083,A01949
P00180,9871071338,A01741
P00181,9902050265,A00239
P00182,9610145542,A00271
P00183,9985938755,A01571
P00184,9880271947,A00980
P00185,9231791125,A00110
P00186,9975028381,A00716
P00187,9874561341,A00181
P00188,9486576708,A01565
P00189,9278333047,A01379
P00190,9118241709,A00414
P00191,9582804293,A00048
P00192,9168125794,A01510
P00193,9551562413,A01662
P00194,9853023633,A01862
