Transaction_ID,Source_Account,Destination_Account,Amount,Date
T000001,AC01763,AC00236,128181,04-08-2024
T000002,AC00983,AC00391,472566,06-06-2025
T000003,AC00738,AC02118,104717,20-12-2025
T000004,AC01664,AC00369,80224,07-04-2026
T000005,AC02134,AC00485,2474,11-04-2025
T000006,AC00051,AC01255,188574,05-09-2024
T000007,AC00258,AC02222,11545,24-06-2024
T000008,AC00422,AC01989,142901,12-10-2024
T000009,AC01461,AC00578,401505,18-05-2025
T000010,AC00742,AC00559,413132,02-12-2025
T000011,AC02235,AC00258,425036,08-07-2024
T000012,AC00317,AC02216,489523,21-11-2025
T000013,AC01799,AC01440,290177,28-03-2025
T000014,AC01975,AC01209,59053,17-05-2025
T000015,AC02262,AC01359,48546,24-06-2024
T000016,AC01096,AC01541,92311,28-01-2025
T000017,AC01612,AC01230,354963,12-03-2026
T000018,AC01342,AC01719,210890,05-11-2025
T000019,AC00430,AC02306,352622,06-06-2024
T000020,AC01072,AC00078,433362,14-07-2024
T000021,AC00403,AC01679,400497,27-02-2025
T000022,AC01029,AC01854,265687,12-03-2025
T000023,AC00660,AC01430,77135,16-05-2026
T000024,AC00288,AC01027,162431,13-06-2025
T000025,AC01546,AC01353,212654,09-07-2025
T000026,AC01917,AC01158,437230,06-08-2024
T000027,AC01652,AC02416,265339,21-01-2025
T000028,AC01236,AC00674,394006,22-04-2026
T000029,AC01263,AC00466,106468,28-04-2025
T000030,AC00595,AC02059,143882,22-07-2025
T000031,AC00100,AC01890,306545,04-11-2025
T000032,AC00044,AC00471,254446,25-04-2025
T000033,AC00702,AC01220,293903,13-07-2024
T000034,AC01142,AC00299,87813,22-01-2026
T000035,AC00213,AC02284,448791,12-05-2025
T000036,AC00708,AC00107,174077,24-10-2024
T000037,AC00077,AC00929,206992,25-02-2025
T000038,AC00518,AC02360,294200,21-10-2024
T000039,AC00216,AC02031,190592,07-04-2025
T000040,AC01839,AC01173,271784,10-03-2026
T000041,AC00226,AC01261,224086,26-06-2025
T000042,AC00868,AC00622,321912,26-02-2025
T000043,AC00417,AC00528,288014,03-09-2025
T000044,AC00360,AC02006,48069,18-05-2025
T000045,AC02271,AC01575,161798,12-01-2025
T000046,AC01821,AC01872,52377,18-08-2024
T000047,AC01320,AC01043,162438,08-01-2026
T000048,AC02258,AC02091,168892,20-09-2025
T000049,AC00568,AC00285,367230,01-02-2025
T000050,AC00961,AC00491,102521,20-04-2026
T000051,AC00697,AC00065,413917,17-03-2026
T000052,AC00255,AC02410,499678,26-11-2024
T000053,AC02121,AC01460,195000,12-04-2026
T000054,AC01034,AC00247,143898,13-01-2025
T000055,AC02035,AC02341,58841,14-11-2025
T000056,AC00509,AC01430,464296,12-02-2025
T000057,AC02245,AC02035,487590,21-03-2026
T000058,AC01716,AC01648,337321,01-09-2024
T000059,AC01144,AC00599,411187,15-08-2025
T000060,AC00085,AC00229,206258,08-09-2024
T000061,AC01621,AC01873,56479,13-04-2026
T000062,AC02279,AC01690,486694,23-04-2025
T000063,AC02167,AC02286,382686,10-12-2025
T000064,AC01688,AC01579,301826,20-04-2026
T000065,AC01775,AC00821,461296,03-12-2024
T000066,AC01821,AC00532,476837,07-06-2025
T000067,AC01668,AC02097,247206,14-03-2026
T000068,AC00461,AC00600,446414,10-07-2024
T000069,AC01105,AC00171,152192,03-02-2026
T000070,AC01264,AC00818,455254,03-08-2025
T000071,AC01895,AC01459,62548,28-04-2026
T000072,AC00938,AC01175,456919,22-09-2025
T000073,AC00755,AC00304,271700,02-03-2025
T000074,AC00521,AC00355,233026,06-05-2026
T000075,AC00501,AC00758,105406,28-03-2025
T000076,AC00972,AC00860,368219,14-05-2025
T000077,AC01013,AC01569,270140,19-04-2026
T000078,AC01652,AC02276,238854,27-04-2026
T000079,AC02450,AC00857,227890,16-10-2025
T000080,AC02081,AC00368,330787,29-03-2026
T000081,AC01469,AC00538,176302,02-06-2024
T000082,AC00271,AC00819,151131,06-01-2025
T000083,AC00009,AC00539,175906,08-05-2026
T000084,AC00198,AC01397,282784,12-03-2026
T000085,AC00656,AC02359,480819,29-10-2024
T000086,AC02394,AC00197,47549,21-01-2026
T000087,AC00077,AC02121,371239,23-06-2024
T000088,AC02440,AC01808,204272,30-04-2026
T000089,AC02061,AC02105,171530,18-03-2026
T000090,AC00304,AC01695,358028,25-07-2025
T000091,AC00803,AC00378,227046,22-03-2025
T000092,AC02426,AC02096,57565,13-06-2025
T000093,AC00713,AC00102,242377,04-11-2024
T000094,AC01285,AC01612,13960,30-11-2025
T000095,AC01023,AC01035,474586,26-07-2024
T000096,AC00771,AC01477,46918,11-01-2026
T000097,AC00496,AC01279,412196,30-08-2024
T000098,AC01637,AC00117,449817,27-02-2025
T000099,AC00157,AC00405,101706,12-01-2026
T000100,AC00445,AC00813,196039,12-02-2026
T000101,AC00482,AC02015,365748,31-12-2024
T000102,AC01710,AC02219,280201,03-04-2025
T000103,AC01423,AC00617,417979,03-01-2026
T000104,AC00160,AC00010,243277,19-03-2026
T000105,AC01495,AC01138,360858,23-08-2025
T000106,AC00611,AC01109,357749,26-04-2026
T000107,AC00542,AC01646,108733,15-05-2025
T000108,AC01315,AC01655,447336,03-08-2024
T000109,AC02238,AC01479,24811,03-10-2025
T000110,AC00376,AC01887,169084,25-03-2026
T000111,AC02117,AC01825,464637,23-08-2024
T000112,AC01635,AC02049,266596,30-12-2024
T000113,AC01741,AC00538,149694,25-07-2025
T000114,AC01813,AC01328,417695,15-11-2025
T000115,AC01428,AC02006,210970,10-12-2024
T000116,AC02045,AC02426,226081,17-06-2025
T000117,AC01491,AC00594,337949,03-10-2025
T000118,AC01949,AC01936,386174,18-08-2024
T000119,AC01415,AC02194,265274,29-05-2025
T000120,AC00816,AC00315,80560,10-10-2025
T000121,AC00846,AC01139,316810,21-04-2025
T000122,AC01274,AC01323,319403,12-02-2026
T000123,AC00474,AC02280,80532,26-08-2024
T000124,AC02004,AC01166,268380,16-04-2026
T000125,AC01165,AC01732,294531,20-12-2024
T000126,AC00394,AC01917,216661,20-03-2025
T000127,AC01112,AC00303,379607,29-07-2024
T000128,AC00959,AC01328,403042,14-04-2025
T000129,AC01139,AC01940,290829,15-06-2025
T000130,AC02181,AC01485,252459,17-04-2026
T000131,AC02327,AC01400,303293,27-11-2024
T000132,AC02042,AC01654,424855,24-10-2024
T000133,AC00618,AC00374,49216,15-11-2024
T000134,AC01197,AC02059,83306,08-05-2025
T000135,AC00738,AC02168,38532,11-03-2026
T000136,AC00496,AC01588,495187,28-10-2025
T000137,AC00313,AC02320,168431,03-05-2025
T000138,AC01330,AC02406,141308,05-05-2026
T000139,AC01174,AC01910,211050,14-02-2025
T000140,AC01799,AC00785,375585,16-12-2024
T000141,AC00950,AC01399,218920,05-02-2025
T000142,AC01798,AC00535,378841,01-07-2024
T000143,AC01898,AC02026,255336,29-05-2026
T000144,AC02373,AC00283,319832,30-05-2025
T000145,AC00970,AC00806,208402,27-09-2025
T000146,AC00830,AC00914,421758,01-03-2025
T000147,AC01164,AC02351,469299,09-06-2024
T000148,AC00061,AC01305,443154,06-07-2025
T000149,AC01967,AC00635,450226,20-08-2025
T000150,AC01925,AC01260,27482,14-09-2024
T000151,AC00131,AC01764,248908,23-03-2025
T000152,AC01113,AC02406,121944,20-08-2025
T000153,AC01354,AC01864,64173,13-10-2025
T000154,AC01427,AC00559,418189,25-12-2024
T000155,AC01687,AC00733,293826,28-07-2024
T000156,AC01617,AC01031,424006,23-01-2025
T000157,AC00853,AC01153,344231,16-01-2025
T000158,AC00243,AC01345,178906,14-06-2025
T000159,AC00310,AC00304,430405,27-05-2025
T000160,AC01294,AC00903,457894,19-08-2025
T000161,AC01696,AC00401,432776,30-04-2026
T000162,AC00524,AC01558,167385,10-02-2026
T000163,AC00024,AC00909,154290,02-07-2025
T000164,AC00754,AC01734,68322,25-03-2026
T000165,AC00079,AC00526,248716,21-01-2025
T000166,AC02371,AC01820,200675,16-02-2025
T000167,AC02495,AC02110,210624,16-09-2025
T000168,AC00258,AC01218,466851,20-06-2024
T000169,AC01244,AC01568,51752,31-07-2025
T000170,AC00910,AC01188,466235,15-02-2025
T000171,AC01162,AC01164,82750,13-06-2025
T000172,AC02326,AC01460,12483,13-03-2025
T000173,AC01597,AC00745,76194,22-12-2025
T000174,AC00085,AC00917,51181,06-01-2026
T000175,AC01139,AC02165,460580,04-11-2025
T000176,AC01196,AC01990,245041,08-03-2026
T000177,AC01519,AC02475,246443,11-05-2026
T000178,AC00832,AC01364,81669,13-03-2025
T000179,AC01258,AC02255,7714,19-10-2025
T000180,AC00418,AC00086,499362,25-12-2025
T000181,AC00204,AC01384,492685,14-11-2025
T000182,AC01052,AC00131,246812,02-09-2024
T000183,AC01094,AC02433,176758,22-09-2024
T000184,AC00672,AC02483,302349,02-10-2024
T000185,AC01377,AC02016,23472,22-11-2025
T000186,AC00707,AC00672,158769,08-07-2024
T000187,AC02336,AC00193,74010,06-11-2024
T000188,AC01615,AC02286,330066,31-08-2024
T000189,AC00940,AC01739,474851,05-09-2025
T000190,AC02289,AC01243,27876,28-03-2026
T000191,AC01059,AC01407,458308,05-01-2026
T000192,AC02338,AC01150,371654,19-10-2024
T000193,AC02220,AC01996,87100,23-04-2025
T000194,AC00277,AC01339,361635,07-03-2026
T000195,AC01673,AC02327,220121,09-07-2025
T000196,AC01342,AC01874,187844,03-02-2025
T000197,AC02073,AC01028,350970,20-07-2025
T000198,AC01432,AC00199,21136,13-08-2024
T000199,AC01698,AC01083,48147,09-11-2024
T000200,AC00075,AC00405,417513,04-10-2024
T000201,AC00747,AC00202,219737,01-03-2026
T000202,AC00984,AC01157,178191,27-06-2025
T000203,AC02275,AC00979,23910,14-06-2025
T000204,AC02093,AC02372,485372,04-02-2026
T000205,AC02411,AC00958,105028,16-07-2024
T000206,AC01694,AC01622,438366,24-08-2025
T000207,AC02181,AC00954,297453,06-11-2024
T000208,AC01505,AC00112,122064,29-09-2025
T000209,AC00707,AC01009,292704,08-09-2025
T000210,AC01351,AC00132,212409,26-10-2024
T000211,AC00904,AC02149,214435,21-09-2024
T000212,AC00808,AC01939,255536,16-11-2025
T000213,AC00685,AC00472,30153,04-12-2025
T000214,AC01986,AC00651,110297,06-03-2026
